case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R08-C01","strength","中和","极弱","0","旺衰权重差异","寅卯官杀与丑戊根气权重不同","方向相反","扩展寅月己土同构盘"
"R08-C01","yong","木","火","0","旺衰联动差异","独立取官杀制土，网站按极弱先扶身","核心方向相反","暂不改"
"R08-C01","xi","水","火、土","0","旺衰联动差异","承载结论不同导致集合翻转","方向不同","继续观察"
"R08-C01","ji","火、土、金","木、金、水","0","旺衰联动差异","整组方向不同","影响较大","继续观察"
"R08-C01","pattern_name","正官格","正官格","1","-","寅中甲官当令","一致","无"
"R08-C01","pattern_status","破格","破格","1","-","伤官见官、官杀混根且身弱","一致","无"
"R08-C02","strength","偏强","极弱","0","旺衰权重差异","巳火印根与戊己比劫未被网站充分计入","方向相反","扩展寅月己土同构盘"
"R08-C02","yong","木","火","0","旺衰联动差异","独立仍取官杀制土，网站按极弱扶身","核心方向相反","暂不改"
"R08-C02","xi","水、金","火、土","0","旺衰联动差异","承载结论不同","方向不同","继续观察"
"R08-C02","ji","火、土","木、金、水","0","旺衰联动差异","整组方向不同","影响较大","继续观察"
"R08-C02","pattern_name","正官格","正官格","1","-","寅中甲官当令","一致","无"
"R08-C02","pattern_status","破格","破格","1","规则口径差异","双方均保留伤官见官硬条件","状态一致","无"
"R08-C03","strength","偏弱","极弱","1","程度差异","双方均判弱向，酉冲卯及癸财使程度不同","同向但程度不同","继续观察"
"R08-C03","yong","火","火","1","-","均先扶身制约食伤财官","一致","无"
"R08-C03","xi","土","火、土","1","集合语义差异","网站集合包含独立喜用土","方向一致","展示主次"
"R08-C03","ji","木、金、水","木、金、水","1","-","官杀食伤财均属压力","一致","无"
"R08-C03","pattern_name","正官格","正官格","1","-","寅中甲官当令","一致","无"
"R08-C03","pattern_status","破格","破格","1","-","伤官见官且身弱","一致","无"
"R08-C04","strength","极弱","极弱","1","-","财官食伤成势，丑根孤立","一致","无"
"R08-C04","yong","火","火","1","-","均先扶身恢复承载","一致","无"
"R08-C04","xi","土","火、土","1","集合语义差异","网站集合包含独立喜用土","方向一致","展示主次"
"R08-C04","ji","木、水、金","木、金、水","1","-","压力方向一致","一致","无"
"R08-C04","pattern_name","正官格","正官格","1","-","寅中甲官当令","一致","无"
"R08-C04","pattern_status","破格","破格","1","-","伤官见官、官杀混杂且极弱","一致","无"
"R08-C05","strength","中和偏弱","偏弱","1","程度差异","双方均偏弱向，丑辰印根权重不同","同向但程度不同","继续观察"
"R08-C05","yong","土","土","1","-","均取印星生金制水","一致","无"
"R08-C05","xi","金","土、金","1","集合语义差异","网站集合包含独立喜用金","方向一致","展示主次"
"R08-C05","ji","火、木、水","木、火、水","1","-","官财食伤均为压力","一致","无"
"R08-C05","pattern_name","正官格","正官格","1","-","午中丁官当令","一致","无"
"R08-C05","pattern_status","成格","破格","0","冲动关系口径差异","独立将子午冲视为降层，网站作为月令受冲硬破","格局状态不同","扩展子午冲同构盘"
"R08-C06","strength","中和偏强","中和","1","程度差异","辛劫巳根增强承载，网站程度略保守","同向但程度不同","继续观察"
"R08-C06","yong","木","木","1","-","均取财星承食生官","一致","无"
"R08-C06","xi","水、火","木、火、水","1","集合语义差异","网站集合包含独立方向","方向一致","展示主次"
"R08-C06","ji","土、金","土、金","1","-","印比过重均列忌","一致","无"
"R08-C06","pattern_name","正官格","正官格","1","-","午中丁官当令","一致","无"
"R08-C06","pattern_status","成格","破格","0","冲动关系口径差异","网站仍以子午冲直接判破","格局状态不同","扩展子午冲同构盘"
"R08-C07","strength","中和","中和","1","-","申禄、辰印与午官子食神相抵","一致","无"
"R08-C07","yong","木","金","0","旺衰联动差异","独立取财通食生官，网站取比劫帮身","核心方向不同","扩展午月庚金同构盘"
"R08-C07","xi","水、火","金、土","0","旺衰联动差异","取用主次不同","方向不同","继续观察"
"R08-C07","ji","土、金","木、火、水","0","旺衰联动差异","集合随取用方向变化","影响较大","继续观察"
"R08-C07","pattern_name","正官格","正官格","1","-","午中丁官当令","一致","无"
"R08-C07","pattern_status","成格","破格","0","冲动关系口径差异","独立认为子午冲降层，网站判月令受冲硬破","格局状态不同","扩展子午冲同构盘"
"R08-C08","strength","偏弱","偏弱","1","-","官杀食神加压，辰戌印根受冲","一致","无"
"R08-C08","yong","土","土","1","-","均先取印恢复承载","一致","无"
"R08-C08","xi","金","土、金","1","集合语义差异","网站集合包含独立喜用金","方向一致","展示主次"
"R08-C08","ji","火、木、水","木、火、水","1","-","压力方向一致","一致","无"
"R08-C08","pattern_name","正官格","正官格","1","-","午中丁官当令","一致","无"
"R08-C08","pattern_status","破格","破格","1","-","七杀混杂、辰戌冲及食神制化不清","一致","无"
"R08-C09","strength","极强","极强","1","-","三卯建禄与癸印成势","一致","无"
