case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
R01-C01,strength,身弱,极弱,0,证据不足,乙在未辰有根但财官重,强弱程度边界,扩大同类冬木样本
R01-C01,yong,火,木,0,流派口径差异,独立先调候网站先扶身,核心取用顺序不同,讨论调候与扶抑优先级
R01-C01,xi,木水,木水,1,-,列表一致,无,无
R01-C01,ji,土金,土金火,0,流派口径差异,火在独立判断为调候首用,火的角色完全相反,先确认调候口径
R01-C01,pattern_name,偏财格,偏财格,1,-,名称一致,无,无
R01-C01,pattern_status,破格,破格,1,-,丑未冲且身弱,无,无
R01-C02,strength,身强,偏强,1,-,卯令强根,无,无
R01-C02,yong,金,金,1,-,庚杀制旺木,无,无
R01-C02,xi,土,金火土,0,流派口径差异,网站喜神集合包含用神且纳入泄秀,公开喜神范围更宽,统一喜神集合语义
R01-C02,ji,木水,木水,1,-,列表一致,无,无
R01-C02,pattern_name,羊刃驾杀边界,羊刃格,0,流派口径差异,独立强调庚杀制刃网站使用基础格名,格名精细度不同,保留制化证据
R01-C02,pattern_status,边界,成格,0,证据不足,午火克庚与己土生庚并存,成格程度争议,增加杀有效性核验
R01-C03,strength,身强,极弱,0,证据不足,午未火根对庚申癸泄制的权重分歧,会反转全部取用,扩大未月丙火样本
R01-C03,yong,水,木,0,流派口径差异,独立水调候网站木扶身,核心取用反转,先核对旺衰再讨论
R01-C03,xi,金,木火水,0,流派口径差异,独立取金生水网站按扶身兼调候扩展,喜神方向不同,明确主次角色
R01-C03,ji,木火,土金,0,流派口径差异,由旺衰结论相反导致,公开建议可能相反,随旺衰复审
R01-C03,pattern_name,伤官格,伤官格,1,-,名称一致,无,无
R01-C03,pattern_status,有救但不纯,破格,0,证据不足,庚申财能否完成通关存在争议,格局层次不同,核验财生官链有效性
R01-C04,strength,身强,中和,0,证据不足,两戌午印戊比对酉泄的权重分歧,用神随之变化,扩大酉月戊土样本
R01-C04,yong,木,火,0,流派口径差异,独立取官制土网站取印制伤官,扶抑与格局救应冲突,讨论救应优先级
R01-C04,xi,水金,火土,0,流派口径差异,两套取用路径不同,喜神方向相反,随核心用神复审
