case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R02-C01","strength","身弱","极弱","1","-","亥子丑水势重但辰丑仍有土根","程度差异不改变扶身方向","无"
"R02-C01","yong","火","土","0","流派口径差异","独立先取火暖寒湿土，网站先取比劫扶身","核心取用先后不同","确认冬土调候与扶抑优先级"
"R02-C01","xi","土","土火","0","流派口径差异","网站喜神集合包含核心用神并把火列辅助","公开集合语义不同","区分核心用神与调候辅助"
"R02-C01","ji","水木金","金水木","1","-","集合一致","无","无"
"R02-C01","pattern_name","月劫带官财","财生官格","0","流派口径差异","独立按丑月本气己劫财取格，网站按月柱乙丑复合关系命名","格名和取格入口不同","保留月令与复合关系两类依据"
"R02-C01","pattern_status","结构不纯且承载不足","破格","1","-","双方均认为日主难承财官","无","无"
"R02-C02","strength","中和偏弱","偏强","0","证据不足","亥卯未木局既制身又生两丁印，双方对连续相生权重相反","会反转全部喜用忌","增加同类三合木兼双印样本"
"R02-C02","yong","火","水","0","流派口径差异","独立按偏弱取印，网站按偏强取财并润燥","核心取用反转","先复审旺衰权重"
"R02-C02","xi","土","水木金","0","流派口径差异","两套旺衰前提相反且网站集合包含用神","喜神方向明显不同","随旺衰复审"
"R02-C02","ji","水木金","火土","0","流派口径差异","两套旺衰前提相反","公开建议可能相反","随旺衰复审"
"R02-C02","pattern_name","月劫兼财官印相生","正印格","0","流派口径差异","独立按未中己本气取月劫，网站按未藏丁透干取正印","取格规则不同","明确本气与透干的优先级"
"R02-C02","pattern_status","成格边界","破格","0","证据不足","网站以财星破印判破，独立强调财官印连续相生","格局层次相反","核验财生官印链能否解除破印"
"R02-C03","strength","身强","偏强","1","-","午未寅火土根助明显","无","无"
"R02-C03","yong","金","金","1","-","食伤泄土并接癸财","无","无"
"R02-C03","xi","水且木条件性可用","金水木","0","流派口径差异","网站集合包含用神金并直接纳入木，独立对木设水润条件","公开集合语义和使用条件不同","展示主次与条件"
"R02-C03","ji","火土","火土","1","-","集合一致","无","无"
"R02-C03","pattern_name","食伤生财格","杂格","0","流派口径差异","独立看庚辛酉接癸财的跨柱链，网站按月令未无明确透干判杂格","用户看到的结构名称差异大","补充跨柱食伤生财证据但不急改格名"
"R02-C03","pattern_status","有基础但不纯","破格","0","证据不足","寅中七杀与食伤生财链并存，网站直接以月令取格不清判破","层次标签不同","扩大未月戊土食伤透干样本"
