case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R06-C01","strength","偏弱","偏弱","1","-","酉官当令，癸子印与甲乙根扶身","一致","无"
"R06-C01","yong","水","水","1","-","印化官生身","一致","无"
"R06-C01","xi","木","水、木","1","集合语义差异","网站喜神集合含核心用神水","主次口径不同","展示主次"
"R06-C01","ji","金、土，火慎用","火、土、金","0","程度差异","双方同忌金土，火的程度不同","次要方向不同","继续观察"
"R06-C01","pattern_name","官印相生格","官印相生格","1","-","辛官癸印","一致","无"
"R06-C01","pattern_status","成格","成格","1","-","无明财伤官截断","一致","无"
"R06-C02","strength","偏弱","极弱","1","程度差异","双方均为弱向","程度不同","继续观察"
"R06-C02","yong","水","木","0","主次差异","独立先护印，网站极弱先扶木","核心取用不同","继续复核"
"R06-C02","xi","木","木、水","1","集合语义差异","网站集合包含木水","方向相近","展示主次"
"R06-C02","ji","土、金","火、土、金","0","程度差异","火是否列忌不同","次要方向不同","继续观察"
"R06-C02","pattern_name","官印相生格","官印相生格","1","-","辛官癸印","一致","无"
"R06-C02","pattern_status","破格","破格","1","-","戊财透出破印","一致","无"
"R06-C03","strength","中和偏强","偏弱","0","旺衰权重差异","卯刃甲比癸子印与酉官冲克权重不同","方向相反","扩展同构盘"
"R06-C03","yong","金","水","0","旺衰联动差异","独立取官制木，网站扶弱取印","核心取用相反","先不改"
"R06-C03","xi","土","水、木","0","旺衰联动差异","承载前提不同","方向不同","先不改"
"R06-C03","ji","木、水","火、土、金","0","旺衰联动差异","整组方向相反","影响较大","扩展同构盘"
"R06-C03","pattern_name","官印相生格","官印相生格","1","-","辛官癸印","一致","无"
"R06-C03","pattern_status","破格","破格","1","-","丁伤官透且卯酉冲","一致","无"
"R06-C04","strength","中和偏弱","极弱","1","程度差异","双壬申印与双申杀的权重不同","同为弱向","继续观察"
"R06-C04","yong","水","水","1","-","印化杀生身","一致","无"
"R06-C04","xi","木","水、木","1","集合语义差异","网站集合含木","方向一致","展示主次"
"R06-C04","ji","金、土","火、土、金","0","程度差异","火的角色不同","次要方向不同","继续观察"
"R06-C04","pattern_name","杀印相生格","杀印相生格","1","-","申杀壬印","一致","无"
"R06-C04","pattern_status","成格","破格","0","承载门槛差异","网站以28分极弱判难承格局","格局状态不同","扩展承载边界"
"R06-C05","strength","偏弱至中和","偏弱","1","-","官杀旺而印有根","方向一致","无"
"R06-C05","yong","水","水","1","-","印化杀护身","一致","无"
"R06-C05","xi","木","水、木","1","集合语义差异","网站集合含木","方向一致","展示主次"
"R06-C05","ji","土、金","火、土、金","0","程度差异","火的角色不同","次要方向不同","继续观察"
"R06-C05","pattern_name","杀印相生格","杀印相生格","1","-","申杀壬印","一致","无"
"R06-C05","pattern_status","破格","破格","1","-","己财透出破印","一致","无"
