case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R07-C01","strength","中和偏弱","偏弱","0","程度差异","甲印坐午、丁劫帮身但丑月失令","承载程度不同","继续观察"
"R07-C01","yong","木","火","0","调候主次差异","独立先取甲印化杀，网站先取火暖局","核心主次不同","扩展冬火同构盘"
"R07-C01","xi","火","火、木","1","集合语义差异","网站喜神集合包含独立喜用方向","方向一致","展示主次"
"R07-C01","ji","土、金、水","土、金、水","1","-","寒湿与财杀压力均被列忌","一致","无"
"R07-C01","pattern_name","伤官格","伤官格","1","-","丑中伤官当令","一致","无"
"R07-C01","pattern_status","成格","成格","1","-","甲印透出制伤","一致","无"
"R07-C02","strength","极弱","极弱","1","-","壬杀透而财杀成势，日主承载不足","一致","无"
"R07-C02","yong","木","木","1","-","均先取印化杀生火","一致","无"
"R07-C02","xi","火","木、火","1","集合语义差异","网站把核心木同时列入喜神集合","主次口径不同","展示主次"
"R07-C02","ji","水、金、湿土","土、金、水","1","集合语义差异","核心忌水金土方向一致，湿土措辞不同","方向基本一致","展示主次"
"R07-C02","pattern_name","伤官格","伤官格","1","-","丑中伤官当令","一致","无"
"R07-C02","pattern_status","破格","破格","1","-","日主极弱难担格局","一致","无"
"R07-C03","strength","身强","极强","0","程度差异","子禄、双亥、辛印使水印成势","同向但程度不同","继续观察"
"R07-C03","yong","火","土","0","调候与扶抑差异","独立先暖寒水，网站先取官土制水","核心主次相反","扩展冬水同构盘"
"R07-C03","xi","土","土、木、火","1","集合语义差异","网站集合包含独立核心方向","方向一致","展示主次"
"R07-C03","ji","金、水","金、水","1","-","印比过旺均列忌","一致","无"
"R07-C03","pattern_name","正官格","正官格","1","-","丑中己官透年","一致","无"
"R07-C03","pattern_status","成格","成格","1","-","财印并见且日主能任官","一致","无"
"R07-C04","strength","偏强","偏强","1","-","子亥根与甲辰泄秀相抵","一致","无"
"R07-C04","yong","火","土","0","调候与扶抑差异","独立先暖局，网站先取官土制水","核心主次相反","扩展冬水同构盘"
"R07-C04","xi","土、木","土、木、火","1","集合语义差异","网站集合包含土木","方向一致","展示主次"
"R07-C04","ji","金、水","金、水","1","-","印比过旺均列忌","一致","无"
"R07-C04","pattern_name","正官格","正官格","1","-","丑中己官透年","一致","无"
"R07-C04","pattern_status","成格","成格","1","-","食神泄秀且官星有根","一致","无"
"R07-C05","strength","中和偏强","极弱","0","旺衰权重差异","寅卯官杀当令与戊辰根气权重相反","方向相反","扩展同构盘"
"R07-C05","yong","木","火","0","旺衰联动差异","独立取官杀制土，网站按极弱先扶身","核心方向相反","暂不改"
"R07-C05","xi","水","火、土","0","旺衰联动差异","承载前提不同","方向不同","扩展同构盘"
"R07-C05","ji","火、土","木、金、水","0","旺衰联动差异","整组方向随旺衰翻转","影响较大","扩展同构盘"
"R07-C05","pattern_name","正官格","正官格","1","-","寅中甲官当令","一致","无"
"R07-C05","pattern_status","破格","破格","1","-","伤官透干见官且日主弱","一致","无"
"R07-C06","strength","极弱","极弱","1","-","食伤生财再生官杀，承载不足","一致","无"
"R07-C06","yong","火","火","1","-","均先扶身制约克泄耗链","一致","无"
"R07-C06","xi","土","火、土","1","集合语义差异","网站把核心火同时列入喜神集合","主次口径不同","展示主次"
"R07-C06","ji","木、水、金","木、金、水","1","-","财官食伤均属压力方向","一致","无"
"R07-C06","pattern_name","正官格","正官格","1","-","寅中甲官当令","一致","无"
"R07-C06","pattern_status","破格","破格","1","-","极弱难担财官且伤官见官","一致","无"
"R07-C07","strength","中和偏强","中和","0","程度差异","三庚双辰帮扶与午官子食神权重不同","同向但程度不同","扩展同构盘"
"R07-C07","yong","木","土","0","旺衰联动差异","独立取财通食神生官，网站先扶身","核心方向相反","暂不改"
"R07-C07","xi","火、水","土、金","0","旺衰联动差异","承载结论改变后集合翻转","方向不同","扩展同构盘"
"R07-C07","ji","土、金","木、火、水","0","旺衰联动差异","整组方向不同","影响较大","扩展同构盘"
"R07-C07","pattern_name","正官格","正官格","1","-","午中丁官当令","一致","无"
"R07-C07","pattern_status","成格","破格","0","关系事实口径差异","独立认为子午冲降层，网站直接以月令受年柱冲判破","格局状态不同","扩展冲动同构盘"
"R07-C08","strength","偏弱","偏弱","1","-","双壬双午泄克，辰印与庚帮身","一致","无"
"R07-C08","yong","土","土","1","-","均先取印制水生金","一致","无"
"R07-C08","xi","金","土、金","1","集合语义差异","网站集合包含独立喜用金","方向一致","展示主次"
"R07-C08","ji","火、水、木","木、火、水","1","-","官食财均属压力方向","一致","无"
"R07-C08","pattern_name","正官格","正官格","1","-","午中丁官当令","一致","无"
"R07-C08","pattern_status","破格","破格","1","-","身弱且食神过旺无财承接","一致","无"
"R07-C09","strength","极强","极强","1","-","申酉金印成势，子水有根","一致","无"
"R07-C09","yong","火","火","1","-","均取缺失火财制印暖局","一致","无"
