case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R03-C01","strength","极强","极强","1","-","卯禄寅根与双亥印生木","无","无"
"R03-C01","yong","火","金","0","流派口径差异","独立取双丁食神泄秀，网站因建禄无财官优先补金官杀","核心取用不同","增加建禄已有食神但无财官样本"
"R03-C01","xi","土且金条件性可用","金火土","0","流派口径差异","网站集合包含核心用神金并把火土列喜，独立以火为用","主次语义不同","展示主次与条件"
"R03-C01","ji","木水","木水","1","-","集合一致","无","无"
"R03-C01","pattern_name","建禄格用食神","建禄格","1","-","卯为乙禄，主体格名一致","无","无"
"R03-C01","pattern_status","结构可用但火根不深","破格","0","证据不足","独立接受食神泄秀，网站要求财官透出","成格程度不同","确认建禄格是否只接受财官制化"
"R03-C02","strength","极强","极强","1","-","酉令申禄且辰酉合丑酉半合","无","无"
"R03-C02","yong","火","火","1","-","官杀制刃并炼旺金","无","无"
"R03-C02","xi","木且水条件性可用","火木水","0","流派口径差异","网站集合包含核心用神火，水的条件未公开","集合语义不同","区分用神与辅助条件"
"R03-C02","ji","土金","土金","1","-","集合一致","无","无"
"R03-C02","pattern_name","羊刃格","羊刃格","1","-","酉为庚刃","无","无"
"R03-C02","pattern_status","无杀制而破格倾向","破格","1","-","双方均认为原局无火官杀制刃","无","无"
"R03-C03","strength","极强","极强","1","-","三午与戊比生扶","无","无"
"R03-C03","yong","水","水","1","-","润燥并以财耗身","无","无"
"R03-C03","xi","金木","水金木","0","流派口径差异","网站喜神集合包含核心用神水","集合语义不同","公开区分用神与喜神"
"R03-C03","ji","火土","火土","1","-","集合一致","无","无"
"R03-C03","pattern_name","羊刃格","羊刃格","1","-","午为戊刃","无","无"
"R03-C03","pattern_status","财被合且无杀制，成格不足","破格","1","-","双方均认为制刃条件不足","无","无"
"R03-C04","strength","身强至极强","极强","1","-","双亥癸比辛印且丑为湿土","方向一致","无"
"R03-C04","yong","火","土","0","流派口径差异","独立先取火调候耗水，网站先取丑中官杀制身","核心取用先后不同","确认冬旺水调候与扶抑优先级"
"R03-C04","xi","土木","土火木","0","流派口径差异","网站集合包含核心用神土和调候火","集合语义不同","展示主次"
"R03-C04","ji","金水","金水","1","-","集合一致","无","无"
"R03-C04","pattern_name","羊刃格","羊刃格","1","-","亥为癸刃","无","无"
"R03-C04","pattern_status","财官制刃边界","破格","0","证据不足","丁财无强根且丑中官杀未透","成格程度不同","保留未透与根气证据"
"R03-C05","strength","中和偏弱","偏强","0","证据不足","双方对两丑根与申亥甲乙耗制的权重相反","会反转全部喜用忌","增加寒湿己土双根样本"
"R03-C05","yong","火","水","0","流派口径差异","独立按偏弱先暖土化杀，网站按偏强取财耗身","核心取用反转","先复审旺衰权重"
"R03-C05","xi","土","水木金","0","流派口径差异","两套旺衰前提相反且网站集合含用神","公开方向不同","随旺衰复审"
"R03-C05","ji","水木金","土火","0","流派口径差异","两套旺衰前提相反","公开方向相反","随旺衰复审"
