case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R04-C01","strength","身强","中和","0","证据不足","独立重三处土根与午火，网站综合丑未冲及财杀伤官后评57分","旺衰程度不同但用神同为木","继续与第三轮C05组成丑月己土对照"
"R04-C01","yong","木","木","1","-","双方均取官杀疏制土","无","无"
"R04-C01","xi","水，金条件性可用","木水金火","0","流派口径差异","网站喜神集合包含核心用神并纳入弱喜火","集合语义不同","公开主次与条件"
"R04-C01","ji","火土","土","0","流派口径差异","网站把火列弱喜，独立认为午火已足不宜再生土","调候用量不同","保留根气与受制说明"
"R04-C01","pattern_name","月令比劫兼伤官制杀","财生杀格","0","流派口径差异","网站从乙丑同柱取财生杀，独立先描述全局伤官制杀","格名范围不同","保留复合机制"
"R04-C01","pattern_status","结构不纯边界","破格","0","证据不足","网站以丑未冲判月令受冲","成格程度不同","扩大丑月冲根样本"
"R04-C02","strength","身弱","偏弱","1","-","丑未冲、辛酉泄、癸亥财与乙杀连续耗制","方向一致","无"
"R04-C02","yong","火","土","0","流派口径差异","双方核心结构分火土并列，网站按原局根气以土决胜，独立先取火调候","核心用神先后不同","保留并列决胜证据"
"R04-C02","xi","土","土火","0","流派口径差异","网站集合包含核心用神土及调候火","集合语义不同","区分用神与喜神"
"R04-C02","ji","水木金","金水木","1","-","集合一致","无","无"
"R04-C02","pattern_name","食神生财、财生杀","财生杀格","0","流派口径差异","网站只取月柱复合格，独立保留辛酉食神链","格名范围不同","显示复合机制"
"R04-C02","pattern_status","日主承载不足且月令受冲","破格","1","-","双方均认为结构受损","无","无"
"R04-C03","strength","身强","偏强","1","-","巳禄戌根与三金申根、子财并存","方向一致","无"
"R04-C03","yong","水","木","0","流派口径差异","独立取有根子财承接食伤，网站按建禄财官制化补原局不存在的木官杀","核心取用不同","继续复核建禄食伤生财门槛"
"R04-C03","xi","木","木水金","0","流派口径差异","网站集合包含用神木及水金","集合语义不同","公开主次"
"R04-C03","ji","火土","火土","1","-","集合一致","无","无"
"R04-C03","pattern_name","建禄格用食伤生财","建禄格","1","-","巳为戊禄，主体格名一致","无","无"
"R04-C03","pattern_status","食伤有力且子财承接，结构可用","破格","0","流派口径差异","网站要求财官透干，独立接受食伤泄秀并由地支财承接","公开层次不同","先修存在性文案，再讨论规则门槛"
"R04-C04","strength","身强","偏强","1","-","双寅禄根与财杀食神耗制并存","方向一致","无"
"R04-C04","yong","金","金","1","-","庚杀制旺木","无","无"
"R04-C04","xi","土，火条件性可用","金火土","0","流派口径差异","网站集合包含核心用神金，其他方向一致","集合语义不同","区分核心与辅助"
"R04-C04","ji","木水","木水","1","-","集合一致","无","无"
"R04-C04","pattern_name","建禄格财生杀兼食神制杀","建禄格","1","-","主体格名一致，独立描述制化链","无","保留机制说明"
"R04-C04","pattern_status","结构可用但制化平衡边界","成格","1","-","双方均接受财杀透出使建禄成格","无","无"
"R04-C05","strength","极强","极强","1","-","双子得令坐刃并见癸劫","无","无"
"R04-C05","yong","火","土","0","流派口径差异","独立先取有形丙火调候耗身，网站先补官杀制刃","核心取用先后不同","继续观察冬旺水调候与制刃优先级"
"R04-C05","xi","木，土条件性可用","土火木","0","流派口径差异","网站集合包含核心用神土及火木","集合语义不同","展示主次"
"R04-C05","ji","金水","金水","1","-","集合一致","无","无"
"R04-C05","pattern_name","羊刃格兼食神生财","羊刃格","1","-","子为壬帝旺，主体格名一致","无","无"
"R04-C05","pattern_status","官杀藏支未透、制刃不足","破格","1","-","修复后网站准确披露寅中官杀及食伤牵制","第三轮问题已覆盖","无"
"R04-C06","strength","中和偏强","极弱","0","独立判断错误/待复核","冻结判断误把丑当癸水羊刃；丑实为冠带且木火土泄耗克完整","独立旺衰前提不可靠","保留冻结记录并在报告纠正，不据此改引擎"
"R04-C06","yong","火","金","0","随旺衰差异","独立基于偏强取财，网站基于极弱取印","喜忌完全反转","先纠正独立旺衰再评价"
"R04-C06","xi","土","金水","0","随旺衰差异","两套旺衰前提相反","公开方向不同","不据此改引擎"
"R04-C06","ji","金水","木火土","0","随旺衰差异","两套旺衰前提相反","公开方向相反","不据此改引擎"
"R04-C06","pattern_name","羊刃格用财官","七杀格","0","独立判断错误/流派差异","癸水丑月并非羊刃；网站按丑中己杀及戊土同五行透出取七杀格","独立格名错误","以网站月令事实为准"
"R04-C06","pattern_status","财官通关边界","破格","0","证据链问题","网站另写七杀无制化，但甲伤官明确透干","理由遗漏真实制杀力量","修理由前先征求用户确认"
"R04-C07","strength","极弱、从财官边界","极弱、假从势","1","-","巳中庚余根不足稳定扶身","方向一致","无"
"R04-C07","yong","火","火","1","-","从势取巳午官杀","无","无"
"R04-C07","xi","木，水条件性可用","火木水","0","流派口径差异","网站集合包含核心用神火并纳入水","集合语义不同","区分主次与用量"
"R04-C07","ji","土金","土金","1","-","集合一致","无","无"
"R04-C07","pattern_name","伤官生财、财生官杀，假从边界","假从势格","1","-","双方均按顺势结构处理","无","无"
"R04-C07","pattern_status","从格边界","成格","0","证据不足","独立保留巳中庚根疑问，网站判假从成立","从格确定程度不同","增加微根破从样本"
"R04-C08","strength","极弱、从财官边界","极弱、假从势","1","-","木火土成链，仅辰中癸余气","方向一致","无"
"R04-C08","yong","火","土","0","流派口径差异","独立按从财先取旺火，网站按从势结构分取透出戊官","核心取用先后不同","复核从势内部主次规则"
"R04-C08","xi","木土","土火木","0","流派口径差异","网站集合包含核心用神土及火木","集合语义不同","区分核心与辅助"
"R04-C08","ji","金水","金水","1","-","集合一致","无","无"
"R04-C08","pattern_name","食伤生财、财生官，假从边界","假从势格","1","-","双方均识别顺势木火土链","无","无"
"R04-C08","pattern_status","从格边界","成格","0","证据不足","辰中癸余根是否破从存在门槛差异","从格确定程度不同","增加辰库余根样本"
"R04-C09","strength","极强","极强","1","-","三卯一寅并见乙劫","无","无"
"R04-C09","yong","火","金","0","流派口径差异","独立取现有丁火泄秀，网站按羊刃优先补无根金官杀","核心取用不同","继续复核羊刃食伤泄秀门槛"
"R04-C09","xi","土，金条件性可用","金火土","0","流派口径差异","网站集合包含核心用神金及火土","集合语义不同","展示主次"
"R04-C09","ji","木水","木水","1","-","集合一致","无","无"
"R04-C09","pattern_name","羊刃格用食伤生财、曲直边界","羊刃格","1","-","卯为甲帝旺，主体格名一致","无","无"
"R04-C09","pattern_status","现有食伤财可用但非严格专旺","破格","0","流派口径差异","网站只认官杀制刃，独立接受食伤泄秀","成格门槛不同","继续增加羊刃泄秀对照"
"R04-C10","strength","身弱不从","极弱不从","1","-","午火实根否定从格，程度有差异","扶身方向一致","无"
"R04-C10","yong","木","木","1","-","印化官杀并生火","无","无"
"R04-C10","xi","火","木火","0","流派口径差异","网站喜神集合包含核心用神木","集合语义不同","区分用神与喜神"
"R04-C10","ji","水金，土条件性可用","土金水","0","流派口径差异","独立认为土可少量制水，网站按极弱统一列忌","土的用量条件不同","保留条件说明"
"R04-C10","pattern_name","七杀格兼财生杀、伤官制杀","正官格","0","独立判断错误/流派差异","亥月本气壬为丁火正官，网站主体格名更准确；癸杀透出形成官杀混杂","独立主体格名偏差","报告纠正但保留冻结文件"
"R04-C10","pattern_status","财杀旺、伤官制杀且身弱的受损结构","破格","1","-","网站列伤官克官、官杀混杂及日主极弱","方向一致","无"
"R04-C03","jianlu_presence_consistency","财未透但子支明确为财，应写财藏支未透，不能写无财官","条件标题写财官透出为用，但详情写禄旺无财官；同一结果又写水财见于日柱地支","0","明确程序显示问题","建禄条件只统计天干可见十神，详情把未透简化成不存在","同一报告一处确认财星存在，一处声称无财官","保持状态不变，先把理由分层为财藏支未透且食伤已有泄秀"
"R04-C06","qisha_control_consistency","甲伤官透干属于实际制杀力量，不能写七杀无制化","网站识别甲为食伤忌神，却在七杀条件只统计食神和印星，输出无制无化","0","明确程序显示问题","七杀格条件遗漏伤官，而同一引擎另有伤官制杀格与对应制化逻辑","丢失真实制化依据并造成内部规则不一致","保持极弱和破格不变，把伤官制杀纳入证据并说明身弱、财党杀仍使结构受损"
